resource,dataset,name,label,collection event.resource,collection event.name,since version,until version,format,unit,references.dataset,references.name,mandatory,description,order,example values,keywords,vocabularies,notes
testCohort,metadata,c_id,Child's identifier,testCohort,baseline,1.0,,string,,,,,,,,Child id,,
testCohort,metadata,m_id,Mother's identifier,testCohort,baseline,1.0,,string,,,,,,,,Mother id,,
testCohort,metadata,p_id,Partner's identifier,testCohort,baseline,1.0,,string,,,,,,,,,,
testCohort,household,partner_in_household,partner lives with mother,testCohort,birth,1.1,,categorical,,,,,Does partner live with mother?,,"1,2,-99",,,
testCohort,birth,apgar_score,Apgar score,testCohort,birth,,,integer,,,,,Child's apgar score at 5 min after birth,,"9,10,3",,,
testCohort,birth,birth_weight,Child's birth weight,testCohort,birth,,,integer,gram,,,,Child's birth weight,,"4210,3050",Birth weight,,
testCohort,birth,birth_length,Child's birth length,testCohort,birth,,,integer,cm,,,,Child's birth length,,"52,48,50",Birth length,,
testCohort,growth,bm_0,Child's weight at indicated age,testCohort,0 months,,,integer,gram,,,,Child's weight at indicated age in grams,,"4210,3050",Child's weight,,
testCohort,growth,length_0,Child's lenght at indicated age,testCohort,0 months,,,integer,cm,,,,Child's height at indicated age in centimeters,,"52,48,50",Child's height,,
testCohort,mother,gest_diabetes,Mother gestational diabetes,testCohort,third trimester,,,binary,,,,,Does mother have gestational diabetes?,,"yes,no",Maternal diabetes,,
testCohort,mother,blood_glucose,Fasting blood glucose,testCohort,third trimester,,,continuous,mmol/litre,,,,Mother's fasting blood glucose in third trimester,,"4.7,7.8,4.5",Maternal diabetes,,
testCohort,mother,family_disease,disease,testCohort,baseline mother,1.0,,categorical,,,,,Family disease on mother's side,,,,ICD10,
testCohort,mother,m_id,Mother's identifier,testCohort,baseline,,,string,,,,,,,,Mother id,,
