tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Consent documents,,,,,,,,,,,sio:SIO_000295,A document explaining all the relevant information to assist an individual in understanding the expectations and risks in making a decision about a procedure. This document is presented to and signed by the individual or guardian.,"Patient registry, FAIR Genomes"
Consent documents,,id,string,1,,,,,,,sio:SIO_000148,A unique proper name or character sequence that identifies this document,"Patient registry, FAIR Genomes"
Consent documents,,type of document,ontology,,,CatalogueOntologies,Consent document types,,,,obo:ICO_0000001,"A classification of the document (e.g., leaflet, consent for clinical study, consent for intervention, etc.)","Patient registry, FAIR Genomes"
Consent documents,,title,string,,,,,,,,sio:SIO_000175,A title or name given to the document,"Patient registry, FAIR Genomes"
Consent documents,,version,string,,,,,,,,sio:SIO_000186,"The version, edition, or adaptation of this document","Patient registry, FAIR Genomes"
Consent documents,,date of approval,date,,,,,,,,sio:SIO_000031,"The date on which this document was approved (e.g., ethnical approval, regulatory approval, etc.)","Patient registry, FAIR Genomes"
Consent documents,,date valid from,date,,,,,,,,sio:SIO_000031,The date on which this document is valid,"Patient registry, FAIR Genomes"
Consent documents,,date valid until,date,,,,,,,,sio:SIO_000032,The last date on which this document is valid,"Patient registry, FAIR Genomes"
Consent documents,,authors,multiselect,,,,Contacts,,,,sio:SIO_001315,The persons involved in creating or maintaining this document,"Patient registry, FAIR Genomes"
Consent documents,,related to documents,multiselect,,,,Consent documents,,,,sio:SIO_000295,Reference to one or more relevant documents,"Patient registry, FAIR Genomes"
