tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Collection events,,,,,,,,,,,dct:PeriodOfTime,Definition of a data collection event for a resource,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,collection,ref,1,true,,Collections,,,,"dct:isPartOf,dct:inSeries",Resource this collection event is part of,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,name,,1,true,,,,,,"dct:title,dct:identifier",Name of the collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,description,text,,,,,,,,dct:description,Description of the collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,subcohorts,ref_array,,,,Collection subcohorts,collection,,,dct:references,Subcohorts that are targetted by this collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,start date,date,,,,,,,,dcat:startDate,Start data of data collection,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,end date,date,,,,,,,,dcat:endDate,End date of data collection. Leave empty if collection is ongoing,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups included in this data collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,number of participants,int,,,,,,,,,Number of participants sampled in this data collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information cohorts,,,,,Areas of information that were extracted in this data collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,data categories,ontology_array,,,CatalogueOntologies,Data categories,,,,dcat:theme,Methods of data collection used in this collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,sample categories,ontology_array,,,CatalogueOntologies,Sample categories,,,,dcat:theme,Samples that were collected in this collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,standardized tools,ontology_array,,,CatalogueOntologies,Standardized tools,,,,,"Standardized tools, e.g. surveys, questionnaires, instruments used to collect data for this collection event","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,standardized tools other,,,,,,,,,,"If 'other', please specify","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
Collection events,,core variables,string_array,,,,,,,,,Name 10-20 relevant variables that were collected in this collection event,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,NetworksStaging",
