tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,defaultValue
Subpopulations,,,,,,,,,,,,Subpopulations defined for this resource,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,resource,ref,1,TRUE,,Resources,,,,dcterms:source,Resource this subpopulation is part of,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,name,,1,TRUE,,,,,,dcterms:title,"Subpopulation name, e.g. 'mothers in first trimester','newborns'","DataCatalogueFlat,CohortsBasis",
Subpopulations,,pid,,,,,,,,,dcterms:identifier,Persistent identifier for this subpopulation,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,description,text,,,,,,,,dcterms:description,Subpopulation description,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,keywords,string_array,,,,,,,,dcat:keyword,Keywords to increase findability of this subpopulation. Try to use words that are not used in the description. Keywords are not displayed on the subpopulation page,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,number of participants,non_negative_int,,,,,,,,healthdcatap:numberOfUniqueIndividuals,Number of participants in this subpopulation,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,counts,refback,,,,Subpopulation counts,,subpopulation,,,"Total number of unique individuals per age(group), gender and year","DataCatalogueFlat,CohortsExtended",
Subpopulations,,inclusion start,int,,,,,,,,dcat:startDate,Year of first included participant,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,inclusion end,int,,,,,,,,dcat:endDate,Year of last included participant. Leave empty if data collection is ongoing,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups within this subpopulation,"DataCatalogueFlat,CohortsExtended",
Subpopulations,,age min,non_negative_int,,,,,,,,healthdcatap:minimumTypicalAge,Minimum age of participants within this subpopulation,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,age max,non_negative_int,,,,,,,,healthdcatap:maximumTypicalAge,Maximum age of participants within this subpopulation,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,main medical condition,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Disease groups within this subpopulation, based on ICD-10 and ORPHA code classifications","DataCatalogueFlat,CohortsBasis",
Subpopulations,,comorbidity,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Comorbidity within this subpopulation, based on ICD-10 classification","DataCatalogueFlat,CohortsExtended",
Subpopulations,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,dcterms:spatial,Countries where data from this subpopulation largely originate from,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,dcterms:coverage,Geographical regions where data from this subpopulation largely originate from,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,inclusion criteria description,text,,,,,,,,healthdcatap:populationCoverage,Other inclusion criteria applied to this subpopulation,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,exclusion criteria description,text,,,,,,,,healthdcatap:populationCoverage,Other exclusion criteria applied to this subpopulation,"DataCatalogueFlat,CohortsBasis",
Subpopulations,,contact point,ref,,,,Contacts,resource,,,dcat:contactPoint,Contact point for this subpopulation. Value copied from Resources table,DataCatalogueFlat,
Subpopulations,,publisher,ref,,,,Organisations,resource,,,dcterms:publisher,Organisation that published this subpopulation. Value copied from Resources table,DataCatalogueFlat,
Subpopulations,,creator,ref_array,,,,Organisations,resource,,,dcterms:creator,Organisation(s) that created this subpopulation. Value copied from Resources table,DataCatalogueFlat,
Subpopulations,,issued,datetime,,,,,,,,dcterms:issued,When the data for this subpopulation was first published,"DataCatalogueFlat,CohortsExtended",
Subpopulations,,modified,datetime,,,,,,,,dcterms:modified, When the data for this subpopulation was last modified,"DataCatalogueFlat,CohortsExtended",
Subpopulations,,theme,ontology_array,,,CatalogueOntologies,Themes,,,,dcat:theme,"A main category of the subpopulation. A subpopulation can have multiple themes, for health data theme must at least take the value 'Health', which is set as a default","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",= [{name: 'Health'}]
Subpopulations,,access rights,ontology,,,CatalogueOntologies,Access rights,,,,dcterms:accessRights,"Information that indicates whether the resource is publicly accessible, has access restrictions or is not public. A default is set for non-public access, because most health datasets contain sensitive information and rules and licenses apply to get access","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",= {name: 'Non public'}
Subpopulations,,applicable legislation,ontology_array,,,CatalogueOntologies,Legislations,,,,dcatap:applicableLegislation,"The legislation that mandates the creation or management of the subpopulation. For health datasets, the value must include the data governance act, which is set as a default. URI's to other legislations may be included","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,UMCUCohorts,INTEGRATE",= [{name: 'Data Governance Act'}]
Subpopulations,,provenance statement,text,,,,,,,,dct:provenance,"A statement of any changes in ownership and custody of a resource since its creation that are significant for its authenticity, integrity, and interpretation","DataCatalogueFlat,EMA",
