tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,validation,semantics,description,profiles,visible
Materials,,,,,,,,,,,,http://semanticscience.org/resource/SIO_000015,"Materials (files, consent, etc.) relating to individual(s)","Patient registry, FAIR Genomes",
Materials,,General Information,heading,,,,,,,,,,,"Patient registry, FAIR Genomes",
Materials,,id,auto_id,1,TRUE,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing","Patient registry, FAIR Genomes",
Materials,,produced by process,multiselect,,,,Processes,,,,,http://purl.obolibrary.org/obo/NCIT_C29862,"An event (an experiment, an observation, etc.) which produces a material","Patient registry, FAIR Genomes",
Materials,,individuals,multiselect,,,,Individuals,,,,,http://purl.obolibrary.org/obo/NCIT_C164337,A reference to one or more individuals associated to the material,"Patient registry, FAIR Genomes",
Materials,,alternate ids,string_array,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C90353,Additional identifiers that identify a material,"Patient registry, FAIR Genomes",
Materials,,affiliated organisations,multiselect,,,CatalogueOntologies,Organisations,,,,,http://purl.obolibrary.org/obo/NCIT_C25412,One or more associations between the record and an organisation.,"Patient registry, FAIR Genomes",
Individual consent,Materials,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C16735,"Consent given by a patient to a surgical or medical procedure or participation in a study, examination or analysis after achieving an understanding of the relevant medical facts and the risks involved.","Patient registry, FAIR Genomes",
Individual consent,,Individual Consent,heading,,,,,,,,,,,"Patient registry, FAIR Genomes",
Individual consent,,consent form used,select,,,,Consent documents,,,,,http://purl.obolibrary.org/obo/IAO_0000136,Reference to the informed consent form that was signed. Points to a particular instance of leaflet and consent form that usually exists as a record (i.e. a row) within the same database as this individual consent.,"Patient registry, FAIR Genomes",
Individual consent,,collected by,select,,,CatalogueOntologies,Organisations,,,,,http://purl.obolibrary.org/obo/NCIT_C45262,Indicates the institute who performed the collection act.,"Patient registry, FAIR Genomes",
Individual consent,,signing date,date,,,,,,,,,http://purl.obolibrary.org/obo/ICO_0000036,A date specification that designates when this individual consent form was signed.,"Patient registry, FAIR Genomes",
