tableName,tableExtends,columnName,columnType,label,computed,key,required,refSchema,refTable,refLink,refBack,refLabel,validation,defaultValue,semantics,description,profiles,visible
Materials,,,,,,,,,,,,,,,sio:SIO_000015,"Materials (files, consent, etc.) relating to individual(s)","Patient registry, FAIR Genomes",
Materials,Sample identifiers,,,,,,,Staging area ids,,,,,,,sio:SIO_000015,"Materials (files, consent, etc.) relating to individual(s)",Patient registry staging,
Materials,,General Information,heading,,,,,,,,,,,,,,"Patient registry, Patient registry staging, FAIR Genomes",
Materials,,id,auto_id,,,1,TRUE,,,,,,,,obo:NCIT_C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing","Patient registry, FAIR Genomes",
Materials,,individuals,multiselect,,,,,,Individuals,,,,,,obo:NCIT_C164337,A reference to one or more individuals associated to the material,"Patient registry, FAIR Genomes",
Materials,,individuals,multiselect,,,,TRUE,erdera,Individuals,,,,,,obo:NCIT_C164337,A reference to one or more individuals associated to the material,Patient registry staging,
Samples,,local sample id,string_array,,,,,,,,,,,,obo:NCIT_C25364,"An identifier associated with a particular source, used by the data provider or owner","Patient registry, Patient registry staging, FAIR Genomes",
Materials,,alternate ids,string_array,,,,,,,,,,,,obo:NCIT_C90353,Additional identifiers that identify a material,"Patient registry, Patient registry staging, FAIR Genomes",false
Materials,,affiliated organisations,multiselect,,,,,CatalogueOntologies,Organisations,,,,,,obo:NCIT_C25412,One or more associations between the record and an organisation.,"Patient registry, Patient registry staging, FAIR Genomes",
Individual consent,Materials,,,,,,,,,,,,,,obo:NCIT_C16735,"Consent given by a patient to a surgical or medical procedure or participation in a study, examination or analysis after achieving an understanding of the relevant medical facts and the risks involved.","Patient registry, FAIR Genomes",
Individual consent,,Individual Consent,heading,,,,,,,,,,,,,,"Patient registry, FAIR Genomes",
Individual consent,,consent form used,select,,,,,,Consent documents,,,,,,obo:IAO_0000136,Reference to the informed consent form that was signed. Points to a particular instance of leaflet and consent form that usually exists as a record (i.e. a row) within the same database as this individual consent.,"Patient registry, FAIR Genomes",
Individual consent,,collected by,select,,,,,CatalogueOntologies,Organisations,,,,,,obo:NCIT_C45262,Indicates the institute who performed the collection act.,"Patient registry, FAIR Genomes",
