resource,role,role description,first name,last name,prefix,initials,title,organisation,email,orcid,homepage,photo,expertise
ABCD,Primary contact,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
ALSPAC,Principal Investigator,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
ALSPAC,Primary contact,,Jack,Ross,,JR,prof.,,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Carpenting
ALSPAC,Data manager,,Ollie,Ross,,OR,ir.,,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Waiting
BIB,Data manager,,Bob,Ross,,BR,dr.,BRI,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
CELSPAC-TNG,Data manager,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
CON,Principal Investigator,,Bob,Ross,,BR,dr.,SSI,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
CONSTANCES,Project manager,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
CSC,Data manager,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
CSC,"Principal Investigator,Primary contact",,Jack,Ross,,JR,prof.,,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Carpenting
CSC,,,Ollie,Ross,,OR,ir.,,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Waiting
DNBC,Project manager,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
EDEN,Principal Investigator,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
ELFE,Project manager,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
FEF,Project manager,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
FORCE-NEN,Principal Investigator,,Bob,Ross,,BR,dr.,UMCU,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
FORCE-NEN,Principal Investigator,,Jack,Ross,,JR,prof.,UMCG,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Carpenting
