tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,label
Version,,,,,,,,,,,,4.0,
Organisations,,,,,,,,,,,"org:Organization,foaf:Agent",Research departments and research groups,
Organisations,,id,,1,true,,,,,,dcterms:identifier,Internal identifier,
Organisations,,pid,,2,,,,,,,dcterms:identifier,Persistent identifier,
Organisations,,acronym,,,,,,,,,dcterms:identifier,Acronym if applicable,
Organisations,,name,text,3,true,,,,,,"dcterms:title,foaf:name",Name used in European projects,
Organisations,,type,ontology_array,,,CatalogueOntologies,Organisation types,,,,,Type of organisation; in which sector is the organisation active?,
Organisations,,type other,text,,,,,,,,,"If type is 'other', a description of type of organisation",
Organisations,,institution,text,,,,,,,,org:FormalOrganization,"University, company, medical centre or research institutes this organisation is part of",
Organisations,,institution acronym,string,,,,,,,,,Short name of the organisation,
Organisations,,email,email,,,,,,,,vcard:hasEmail,Contact email address for person responsible for organization entry in catalogue,
Organisations,,logo,file,,,,,,,,,Logo of the organisation,
Organisations,,address,text,,,,,,,,vcard:hasAddress,Address of the organisation,
Organisations,,expertise,text,,,,,,,,,A short description of the expertise of this institution,
Organisations,,country,ontology_array,,,CatalogueOntologies,Countries,,,,vcard:country-name,Country in which the institution head office or coordinating centre is located,
Organisations,,features,ontology_array,,,CatalogueOntologies,Organisation features,,,,,Features that describe this organisation,
Organisations,,role,ontology_array,,,CatalogueOntologies,Organisation roles,,,,org:Role,Roles of the institution in connection with data sources in the catalogue. Select one or more of the following:,
