tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,label
Version,,,,,,,,,,,,4.0,
Catalogues,,,,,,,,,,,,A collection of resources within a network or consortium or about a common topic,
Catalogues,,network,ref,1,true,,Networks,,,,,Network or consortium that leads this catalogue,
Catalogues,,type,ontology,,true,CatalogueOntologies,CatalogueTypes,,,,,Type of catalogue,
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies",
Organisations,,,,,,,,,,,,Research departments and research groups,
Models,,,,,,,,,,,,Data models,
Databanks,Resources,,,,,,,,,,,"Data collection from real world databases such as health records, registries",
Data sources,Resources,,,,,,,,,,,Collections of multiple data banks covering the same population,
Networks,,,,,,,,,,,,Collaborations of multiple institutions,
Studies,,,,,,,,,,,,"Collaborations of multiple institutions, addressing research questions using data sources and/or data banks",
Resources,,overview,heading,,,,,,,,,General information,
Networks,,overview,heading,,,,,,,,,General information,
Models,,overview,heading,,,,,,,,,General information,
Studies,,overview,heading,,,,,,,,,General information,
Organisations,,overview,heading,,,,,,,,,General information,
Resources,,id,,1,true,,,,,,,Internal identifier,
Networks,,id,,1,true,,,,,,,Internal identifier,
Models,,id,,1,true,,,,,,,Internal identifier,
Studies,,id,,1,true,,,,,,,Internal identifier,
Organisations,,id,,1,true,,,,,,,Internal identifier,
Resources,,pid,,2,,,,,,,,Persistent identifier,
Networks,,pid,,2,,,,,,,,Persistent identifier,
Models,,pid,,2,,,,,,,,Persistent identifier,
Studies,,pid,,2,,,,,,,,Persistent identifier,
Organisations,,pid,,2,,,,,,,,Persistent identifier,
Resources,,acronym,,,,,,,,,,Acronym if applicable,
Networks,,acronym,,,,,,,,,,Acronym if applicable,
Models,,acronym,,,,,,,,,,Acronym if applicable,
Studies,,acronym,,,,,,,,,,Acronym if applicable,
Organisations,,acronym,,,,,,,,,,Acronym if applicable,
Resources,,name,text,3,true,,,,,,,Name used in European projects,
Networks,,name,text,3,true,,,,,,,Name used in European projects,
Models,,name,text,3,true,,,,,,,Name used in European projects,
Studies,,name,text,3,true,,,,,,,Name used in European projects,
Organisations,,name,text,3,true,,,,,,,Name used in European projects,
Resources,,local name,,,,,,,,,,"If different from above, name in the national language",
Organisations,,type,ontology_array,,,CatalogueOntologies,Organisation types,,,,,Type of organisation; in which sector is the organisation active?,
Organisations,,type other,text,,,,,,,,,"If type is 'other', a description of type of organisation",
Organisations,,institution,text,,,,,,,,,"University, company, medical centre or research institutes this organisation is part of",
Organisations,,institution acronym,string,,,,,,,,,Short name of the organisation,
Organisations,,email,email,,,,,,,,,Contact email address for person responsible for organization entry in catalogue,
Organisations,,logo,file,,,,,,,,,Logo of the organisation,
Organisations,,address,text,,,,,,,,,Address of the organisation,
Organisations,,expertise,text,,,,,,,,,A short description of the expertise of this institution,
Organisations,,country,ontology_array,,,CatalogueOntologies,Countries,,,,,Country in which the institution head office or coordinating centre is located,
Organisations,,features,ontology_array,,,CatalogueOntologies,Organisation features,,,,,Features that describe this organisation,
