name,description,type,files,belongsToDataset,propertyValue
Analyses,Reference to use Analyses as an FDP dataset distribution,Table,,datasetId01,"https://w3id.org/ejp-rd/vocabulary#vpConnection https://w3id.org/ejp-rd/vocabulary#VPDiscoverable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
Biosamples,Reference to use Biosamples as an FDP dataset distribution,Table,,"datasetId02,dataAndFilesId07","https://w3id.org/ejp-rd/vocabulary#vpConnection https://w3id.org/ejp-rd/vocabulary#VPDiscoverable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
Cohorts,Reference to use Cohorts as an FDP dataset distribution,Table,,datasetId03,"https://w3id.org/ejp-rd/vocabulary#vpConnection https://w3id.org/ejp-rd/vocabulary#VPDiscoverable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
GenomicVariations,Reference to use GenomicVariations as an FDP dataset distribution,Table,,allOtherDistrId08,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
GenomicVariationsCaseLevel,Reference to use GenomicVariationsCaseLevel as an FDP dataset distribution,Table,,allOtherDistrId08,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
GenomicVariationsClinInterpr,Reference to use GenomicVariationsClinInterpr as an FDP dataset distribution,Table,,allOtherDistrId08,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
Individuals,Reference to use Individuals as an FDP dataset distribution,Table,,"minDatId04,dataAndFilesId07","http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
IndividualsDiseases,Reference to use IndividualsDiseases as an FDP dataset distribution,Table,,allOtherDistrId08,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
IndividualsMeasures,Reference to use IndividualsMeasures as an FDP dataset distribution,Table,,allOtherDistrId08,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
IndividualsPhenotypicFeatures,Reference to use IndividualsPhenotypicFeatures as an FDP dataset distribution,Table,,allOtherDistrId08,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
Runs,Reference to use Runs as an FDP dataset distribution,Table,,allOtherDistrId08,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
MyDataRelease,A set of remote files to use as an FDP dataset distribution,File,"File01","oneFileId05,filesetId06,dataAndFilesId07","http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
MyDataFreeze,A set of remote files to use as an FDP dataset distribution,File,"File01,MinFile02","filesetId06,dataAndFilesId07","http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2004/02/skos/core#example"
