fdp endpoint,ldp membership relation,id,pid,name,local name,acronym,type,type other,catalogue type,main catalogue,cohort type,clinical study type,RWD type,network type,website,description,keywords,internal identifiers.resource,internal identifiers.identifier,external identifiers.resource,external identifiers.identifier,start year,end year,time span description,contact email,logo,logo_filename,status,conforms to,has member relation,issued,modified,design,design description,design schematic,design schematic_filename,data collection type,data collection description,reason sustained,record trigger,unit of observation,subpopulations.resource,subpopulations.name,collection events.resource,collection events.name,data resources,part of networks,number of participants,number of participants with samples,underlying population,population of interest,population of interest other,countries,continents,regions,minimum age,maximum age,population age groups,age min,age max,inclusion criteria,other inclusion criteria,exclusion criteria,other exclusion criteria,population entry,population entry other,population exit,population exit other,population disease,population oncology topology,population oncology morphology,population coverage,population not covered,counts.resource,counts.age group,people involved.resource,people involved.first name,people involved.last name,contact point.resource,contact point.first name,contact point.last name,organisations involved.resource,organisations involved.id,publisher.resource,publisher.id,creator.resource,creator.id,child networks,parent networks,datasets.resource,datasets.name,samplesets.resource,samplesets.name,areas of information,areas of information rwd,quality of life other,cause of death code other,indication vocabulary other,genetic data vocabulary other,care setting other,medicinal product vocabulary other,prescriptions vocabulary other,dispensings vocabulary other,procedures vocabulary other,biomarker data vocabulary other,diagnosis medical event vocabulary other,data dictionary available,disease details,biospecimen collected,languages,multiple entries,has identifier,identifier description,prelinked,linkage options,linkage possibility,linked resources.resource,linked resources.linked resource,informed consent type,informed consent required,informed consent other,access rights,data access conditions,data use conditions,data access conditions description,data access fee,access identifiable data,access identifiable data route,access subject details,access subject details route,access third party,access third party conditions,access non EU,access non EU conditions,biospecimen access,biospecimen access conditions,governance details,approval for publication,release type,release description,number of records,release frequency,refresh time,lag time,refresh period,date last refresh,preservation,preservation duration,standard operating procedures,qualification,qualifications description,audit possible,completeness,completeness over time,completeness results,quality description,quality over time,access for validation,quality validation frequency,quality validation methods,correction methods,quality validation results,mappings to common data models.source,mappings to common data models.source dataset,mappings to common data models.target,mappings to common data models.target dataset,common data models other,ETL standard vocabularies,ETL standard vocabularies other,publications.resource,publications.doi,funding sources,funding scheme,funding statement,citation requirements,acknowledgements,documentation.resource,documentation.name,supplementary information,theme,applicable legislation,collection start planned,collection start actual,analysis start planned,analysis start actual,data sources,medical conditions studied,data extraction date,analysis plan,objectives,results,mg_draft
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,main catalogue,https://placeholder-pid/maincatalogue.org,Demo Health Data Catalogue,,main,Catalogue,,,TRUE,,,,,,This is an example of custom catalogue description using the 'main catalogue' boolean to indicate which catalogue definition should be used.,,,,,,,,,,49a688823ceb44069e16b921c6b0ddae,23edc738065142278a5df544ddd287de.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main catalogue,Rob,Boss,main catalogue,Rob,Boss,main catalogue,UMCG,main catalogue,UMCG,main catalogue,UMCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,ATHLETE,https://placeholder-pid/athlete.org,Advancing Tools for Human Early Lifecourse Exposome Research and Translation,,ATHLETE,"Network,Catalogue",,project,,,,,h2020,https://athleteproject.eu/,"Children are particularly vulnerable to environmental hazards. The ATHLETE project will measure a wide range of environmental exposures (urban, chemical, lifestyle and social risk factors) during pregnancy, childhood, and adolescence. The project will then link this “early-life exposome” to children’s biological responses and cardiometabolic, respiratory, and mental health. The results will help us to better understand and prevent health damage from environmental agents from the earliest parts of the life course onward.","test1,test2",,,,,,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"DNBC,PELAGIE,G21,ELSPAC,BIB,GenR,Sepages,INMA,EDEN,MoBa,KANC,GenR Next",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATHLETE,Rob,Boss,ATHLETE,Rob,Boss,ATHLETE,place-holder-organisation,ATHLETE,place-holder-organisation,ATHLETE,place-holder-organisation,,"EUChildNetwork,OOM","ATHLETE,ATHLETE","outcome_ath,chemicals_ath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,LifeCycle,https://placeholder-pid/lifecycle.org,The LifeCycle Project,,LifeCycle,"Network,Catalogue",,project,,,,,,https://lifecycle-project.eu/,"A Europe-wide network of cohort studies started in early life Cohort studies started from pregnancy or childhood give the unique opportunity to relate early-life stressors with variation in development, health and disease throughout the life course. Moreover, advanced analytical approaches used in observational studies can help identify causality and potential for early-life interventions on factors that cannot be easily studied in experimental settings. These factors include socioeconomic circumstances, migration, urban environment as well as lifestyle-related determinants and will be given particular focus in our project. We will set up a European pregnancy and childhood cohort, the EU Child Cohort Network, which brings together extensive existing data from more than 250,000 European children and their parents. These cohorts enable studies in multiple generations because of their detailed phenotyping of both parents and children. The network will bring together existing successful multidisciplinary cohort studies, which all started before or during pregnancy or in childhood. Together, they span the full life course and contain detailed phenotypical information as well as biological samples. The EU Child Cohort Network will optimize exploitation of more than 40 available cohort resources in Europe and will enable innovative research on identification of novel markers of early-life stressors related to health trajectories throughout the full life cycle. Although LifeCycle partners and their cohorts have taken the initiative for this unique collaboration, the network is open to other partners with population-based cohorts started in early life, specifically those from Eastern and Southern Europe. To ensure that this will be a Europe-wide, open and sustainable network, which exceeds the LifeCycle Project duration, we will introduce a data sharing platform taking account of ethical, legal and societal implications, we will organize yearly meetings open to all European pregnancy and child cohort researchers and we will start a fellowship programme for exchange between these European cohorts.","test1,test2",,,,,,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"ELFE,GECKO,ALSPAC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LifeCycle,Rob,Boss,LifeCycle,Rob,Boss,LifeCycle,EMC,LifeCycle,EMC,LifeCycle,EMC,,"EUChildNetwork,OOM","LifeCycle,LifeCycle,LifeCycle","core,outcomes,outcome",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,LongITools,https://placeholder-pid/longitools.org,LongITools health & environment dynamics,,LongITools,"Network,Catalogue",,project,,,,,h2020,https://longitools.org/,"LongITools is a European research project studying the interactions between the environment, lifestyle and health in determining the risks of chronic cardiovascular and metabolic diseases.","test1,test2",,,,,,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"NFBC1986,G21,DFBC,ALSPAC,EDEN,NOMA,ELFE,RS2,RS1,ENVIRONAGE,GenR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LongITools,LongITools","Ollie,Rob","Ross,Boss",LongITools,Ollie,Ross,LongITools,UOULU,LongITools,UOULU,LongITools,UOULU,,EUChildNetwork,LongITools,wave_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,testNetwork1,https://placeholder-pid/testnetwork1.org,name for test network1,,acronym for test network1,"Catalogue,Network",,,,,,,EU4health - Prevention,https://www.molgenis.org,test description for new test network,"test1,test2",,,,,1975,2010,,,49a688823ceb44069e16b921c6b0ddae,23edc738065142278a5df544ddd287de.jpg,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"testCohort2,COD_FARMACI_SPF,AP,testCohort3,testCohort1,testCohort4,SPECIALISTICA,TestDataSourceID",,,,,,,"Central African Republic (the),Chad",,,,,,,,,,,,,,,,,,,,,,,testNetwork1,Rob,Boss,testNetwork1,Rob,Boss,"testNetwork1,testNetwork1,testNetwork1,testNetwork1","CNR-IFC,UMCG,AMC,CYN",testNetwork1,UMCG,"testNetwork1,testNetwork1,testNetwork1,testNetwork1","CNR-IFC,UMCG,AMC,CYN",,testNetworkofNetworks,testNetwork1,cdm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"testNetwork1,testNetwork1","https://doi.org/10.1016/S1473-3099(20)30873-2,https://doi.org/10.1136/bmjopen-2017-015867",,,"test funding statement for test network - check that ""until now"" has been included Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. until now",,"test acknowledgements for test network - check that ""until now"" has been included Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.  until now",,,,Health,Data Governance Act,,,,,TestDataSourceID,,,,,,false
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,EUChildNetwork,https://placeholder-pid/euchildnetwork.org,The EU Child Cohort Network,,EUChildNetwork,"Catalogue,Network",,,,,,,harmonization,https://lifecycle-project.eu/for-scientists/the-eu-child-cohort-network/,"The EU Child Cohort Network: A Europe-wide network of cohort studies started in early life Cohort studies started from pregnancy or childhood give the unique opportunity to relate early-life stressors with variation in development, health and disease throughout the life course. Moreover, advanced analytical approaches used in observational studies can help identify causality and potential for early-life interventions on factors that cannot be easily studied in experimental settings. These factors include socioeconomic circumstances, migration, urban environment as well as lifestyle-related determinants and will be given particular focus in our project. We will set up a European pregnancy and childhood cohort, the EU Child Cohort Network, which brings together extensive existing data from more than 250,000 European children and their parents. These cohorts enable studies in multiple generations because of their detailed phenotyping of both parents and children. The network will bring together existing successful multidisciplinary cohort studies, which all started before or during pregnancy or in childhood. Together, they span the full life course and contain detailed phenotypical information as well as biological samples. The EU Child Cohort Network will optimize exploitation of more than 40 available cohort resources in Europe and will enable innovative research on identification of novel markers of early-life stressors related to health trajectories throughout the full life cycle. Although LifeCycle partners and their cohorts have taken the initiative for this unique collaboration, the network is open to other partners with population-based cohorts started in early life, specifically those from Eastern and Southern Europe. To ensure that this will be a Europe-wide, open and sustainable network, which exceeds the LifeCycle Project duration, we will introduce a data sharing platform taking account of ethical, legal and societal implications, we will organize yearly meetings open to all European pregnancy and child cohort researchers and we will start a fellowship programme for exchange between these European cohorts.","test1,test2",,,,,,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"GECKO,GenR,RS2,ALSPAC,NOMA,RS3,KANC,RS1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUChildNetwork,Rob,Boss,EUChildNetwork,Rob,Boss,EUChildNetwork,place-holder-organisation,EUChildNetwork,place-holder-organisation,EUChildNetwork,place-holder-organisation,"LongITools,ATHLETE,LifeCycle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,false
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,MOLGENIS,https://placeholder-pid/molgenis.org,MOLGENIS Demo,,,"Catalogue,Network",,,,,,,,,This is a test description.,"test1,test2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"testCohort1,testCohort2,RAINE,ELFE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOLGENIS,Morris,Swertz,MOLGENIS,Morris,Swertz,MOLGENIS,UMCG_org,MOLGENIS,UMCG_org,MOLGENIS,UMCG_org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,false
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,testNetworkofNetworks,https://placeholder-pid/testnetworkofnetworks.org,name for test network of networks,,acronym for test network of networks,"Catalogue,Network",,,,,,,EU4health - Prevention,https://www.molgenis.org,test description for new test network,"test1,test2",,,,,1975,2010,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"COD_FARMACI_SPF,AP,testCohort3,SPECIALISTICA,testCohort1,testCohort2",,,,,,,"Germany,Netherlands (the)",,,,,,,,,,,,,,,,,,,,,,,testNetworkofNetworks,Rob,Boss,testNetworkofNetworks,Rob,Boss,"testNetworkofNetworks,testNetworkofNetworks,testNetworkofNetworks,testNetworkofNetworks","CNR-IFC,UMCG,AMC,CYN",testNetworkofNetworks,UMCG,"testNetworkofNetworks,testNetworkofNetworks,testNetworkofNetworks,testNetworkofNetworks","CNR-IFC,UMCG,AMC,CYN","testNetwork2,testNetwork1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testNetworkofNetworks,https://doi.org/10.1016/S1473-3099(20)30873-2,,,"test funding statement for test network - check that ""until now"" has been included Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.   until now",,"test acknowledgements for test network - check that ""until now"" has been included Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.  until now",,,,Health,Data Governance Act,,,,,,,,,,,false
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,IPEC,https://placeholder-pid/ipec.org,International Psychosis Epidemiology Consortium,,IPEC,"Network,Catalogue",,project,,,,,harmonization,https://www.ipec-project.com/,"There are many early psychosis cohorts in the world. Epidemiological research with these cohorts over the past decades has greatly increased the understanding of distribution and mechanisms of psychotic disorders. Carrying out cross-country comparisons on a larger scale is extremely costly. An alternative strategy is to pool the existing large amount of data from high-quality early psychosis studies at an individual patient level. This approach has multiple advantages: it allows for examining psychosis determinants with greater precision, also including rare exposures and outcomes, focusing on (long-term) follow-up, and making optimal use of already existing data. To achieve this, the International Psychosis Epidemiology Consortium (IPEC) has catalogued and harmonized data from early psychosis cohorts and set up a virtual databank. With this databank, multiple (epidemiological) studies within the scope of the following research question will be conducted: “What drives the course of functional, existential and clinical outcomes of (early) psychosis and how does the social and geographical context shape these patterns?”.","test1,test2",,,,,2023,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,PSYCONN,,,,,,,"Denmark,Netherlands (the)",,,,,,,,,,,,,,,,,,,,,,,IPEC,Rob,Boss,IPEC,Rob,Boss,"IPEC,IPEC,IPEC,IPEC,IPEC","Lentis Research,GGZ Drenthe,GGZ Friesland,UMCG,UCPH",IPEC,UMCG,"IPEC,IPEC,IPEC,IPEC,IPEC","UMCG,GGZ Drenthe,GGZ Friesland,Lentis Research,UCPH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IPEC was supported by the 2020 SIRS Research Harmonization Group Award which included a grant in the amount of $5000 USD to Prof. Wim Veling and Prof. Craig Morgan; an internal MD-PhD research grant of the University Medical Center Groningen (grant number 18-41) to Vera Brink, MSc; a grant in the amount of 400,000 DKK of the Capital Regions Research council to Dr Nikolai Albert; and the participating institutions (Lentis Psychiatric Institute, GGZ Drenthe, GGZ Friesland, University Center Psychiatry of University Medical Center Groningen, Bispebjerg hospital, Psychiatric Hospital Risskov, and Psychiatric Centre Copenhagen).",,"IPEC wishes to acknowledge the services of all the study participants, staff, research groups, and institutions collaborating in IPEC, and of MOLGENIS and RoQua, who helped build and maintain the technical infrastructure.",,,,Health,Data Governance Act,,,,,,,,,,,
main_fdp,https://w3id.org/fdp/fdp-o#metadataCatalog,testUMC,https://placeholder-pid/testUMC.org,testUMC,UMC teste,tUMC,Catalogue,,organisation,,,,,,https://test-umc@example.com,Demo data dummy UMC catalogue for testing purposes,,,,,,,,,,,,,https://specs.fairdatapoint.org/fdp-specs-v1.2.html,,,,,,,,,,,,,,,,,"LSC,GenR",,,,,,,Austria,,Friesland,,,,,,,,,,,,,,,,,,,,,testUMC,Rob,Boss,testUMC,Rob,Boss,testUMC,TUMC,testUMC,TUMC,testUMC,TUMC,OOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Data Governance Act,,,,,,,,,,,
