resource,name,label,unit of observation,keywords,description,number of rows,since version,until version
testCohort3,test dataset for testCohort3,,,,,,,
testCohort4,test dataset for testCohort4,,,,,,,
testNetwork1,cdm_1,,,,,,,
G21,child,child,person,,,,1,
G21,blood_pressure,blood pressure,,,blood pressure of the child measured during G21 cohort follow-ups,,1.0.0,
ENVIRONAGE,measurements after birth,,,,,,,
ENVIRONAGE,measurements at FU1,,,,,,,
ENVIRONAGE,bloodpressure after birth,,,,,,,
DHL,CPA2,,,,,,1.0,
DHL,CPA1,,,,,,1.0,
GenR,core,,,,,,1.0.0,
GenR,FETALCRL_22112016,DataWiki dataset FETALCRL_22112016,,,,,1.0.0,
GenR,FETALPLACENTA_22112016,DataWiki dataset FETALPLACENTA_22112016,,,,,1.0.0,
GenR,ATHLETE_fetal_growth_standardized,ATHLETE Harmonised dataset with standardized fetal growth data: ATHLETE_fetal_growth_standardized,,,,,1.0.0,
GenR,CHILD-ALLGENERALDATA_12112020,DataWiki dataset CHILD-ALLGENERALDATA_12112020,,,,,1.0.0,
GenR,FETALGROWTH_22112016,DataWiki dataset FETALGROWTH_22112016,,,,,1.0.0,
ANAGRAFICA,ANAGRAFICA,,,,,,1.0,
AP,AP,,,,,,1.0,
ARS_ANAG_MED_RES_storico,ARS_ANAG_MED_RES_storico,,,,,,1.0,
ARS_PS,PS,,,,,,1.0,
AVOHILMO,palvelutapahtuma,,,,,,1.0,
AVOHILMO,kayntisyy_icd10,,,,,,1.0,
AVOHILMO,kayntisyy_icpc2,,,,,,1.0,
AVOHILMO,avo_toimenpide,,,,,,1.0,
COD_FARMACI_SPF,COD_FARMACI_SPF,,,,,,1.0,
DIAGNOSTIC,DIAGNOSTIC,,,,,,1.0,
EFEMERIS_PRESCRIPTION,EFEMERIS_PRESCRIPTION,,,,,,1.0,
EXE,EXE,,,,,,1.0,
FARMACEUTICA,FARMACEUTICA,,,,,,1.0,
MBRN,MBRN_mother,,,,,,1.0,
MBRN,MBRN_child,,,,,,1.0,
MBRN,MBRN,,,,,,1.0,
PHT,PHT,,,,,,1.0,
RMR,RMR,,,,,,1.0,
SALM,SALM,,,,,,1.0,
SEA,SEA,,,,,,1.0,
SPA,SPA,,,,,,1.0,
SPECIALISTICA,SPECIALISTICA,,,,,,1.0,
SPF,SPF,,,,,,1.0,
VCN,VCN,,,,,,1.0,
OOM,VISIT_OCCURRENCE,,,,,,2.2,
OOM,EVENTS,,,,,,2.2,
OOM,MEDICINES,,,,,,2.2,
OOM,PROCEDURES,,,,,,2.2,
OOM,VACCINES,,,,,,2.2,
OOM,MEDICAL_OBSERVATIONS,,,,,,2.2,
OOM,EUROCAT,,,,,,2.2,
OOM,SURVEY_ID,,,,,,2.2,
OOM,SURVEY_OBSERVATIONS,,,,,,2.2,
OOM,PERSONS,,,,,,2.2,
OOM,OBSERVATION_PERIODS,,,,,,2.2,
OOM,PERSON_RELATIONSHIPS,,,,,,2.2,
OOM,PRODUCTS,,,,,,2.2,
OOM,METADATA,,,,,,2.2,
OOM,CDM_SOURCE,,,,,,2.2,
OOM,INSTANCE,,,,,,2.2,
ATHLETE,outcome_ath,Outcome (ATHLETE),,,,,1.1.0,
ATHLETE,chemicals_ath,Chemicals (ATHLETE),,,,,1.1.0,
LifeCycle,core,,Patient,,,,1.0.0,
LifeCycle,outcomes,,,,,,1.0.0,
LifeCycle,outcome,,,,,,1.0.0,
LongITools,wave_01,Wave 1 variables,,,Table of wave 1 variables for LongITools,,1.0.0,
NFBC1966,core,,,,,,1.0.0,
NFBC1966,wave_01,wave 1 variables,,,Wave 1 variables for NFBC1966,,1.0.0,
PELAGIE,pelagie_q2,Questionnaire at 2 years old of the child,Patient,,Questionnaire at 2 years old of the child,,1.0.0,
PELAGIE,new,Created variables for ATHLETE,Patient,,Non existing variables created for ATHLETE,,1.0.0,
PELAGIE,datenaisspere,Father date of birth,Patient,,Father date of birth from 6 and 12 years old follow-ups,,1.0.0,
PELAGIE,pepsy,Neuropsychological tests at 6 years old,Patient,,Neuropsychological tests at 6 years old,,1.0.0,
PELAGIE,pelagie_exam12,Clinical examination at 12 years old,Patient,,Clinical examination at 12 years old,,1.0.0,
PELAGIE,BDD_phtalates_phenols,database with phtalates and phenols measurement from maternal urine sample,Patient,,database with phtalates and phenols measurement from maternal urine sample,,1.0.0,
PELAGIE,BDD_perfluores,database with PFASs measurement from cord blood and in the blood of children at 12 years,Patient,,database with PFASs measurement from cord blood and in the blood of children at 12 years,,1.0.0,
PELAGIE,BDD_pop,database with POPs measurement from cord blood and in the blood of children at 12 years,Patient,,database with POPs measurement from cord blood and in the blood of children at 12 years,,1.0.0,
PELAGIE,BDD_OP,database with measurement of OPs from a maternal urine sample and in children's urine at 6 years,Patient,,database with measurement of OPs from a maternal urine sample and in children's urine at 6 years,,1.0.0,
PELAGIE,BDD_creatinine,database with measurement of creatinine from a maternal urine sample and in children's urine at 6 years,Patient,,database with measurement of creatinine from a maternal urine sample and in children's urine at 6 years,,1.0.0,
PELAGIE,BDD_mercure,database with measurement of metals in a sample of mothers' hair during the third trimester,Patient,,database with measurement of metals in a sample of mothers' hair during the third trimester,,1.0.0,
PELAGIE,BDD_cotinine,database with measurement of cotinine from a maternal urine sample and in children's urine at 6 years,Patient,,database with measurement of cotinine from a maternal urine sample and in children's urine at 6 years,,1.0.0,
PELAGIE,Urban_ISGlobal,Urban exposome dataset generated by Montserrat de Castro (ISGlobal),Patient,,Urban exposome dataset generated by Montserrat de Castro (ISGlobal),,,
