order,name,definition,code,parent,ontologyTermURI
,Age group inclusion criterion,"An inclusion criterion that defines and states an age bracket which, if met, makes an entity suitable for a given task or participation in a given process.",0002555,,http://purl.obolibrary.org/obo/OBI_0002555
,Age of majority inclusion criterion,"An inclusion criterion that uses the age of majority for a state or institution, where one is generally considered to be an adult, which if met, makes an individual suitable for a given task or participation in a given process.",0002423,,http://purl.obolibrary.org/obo/OBI_0002423
,BMI range inclusion criterion,"An inclusion criterion that defines and states a Body Mass Index range, which if met, makes an individual suitable for a given task or participation in a given process.",0002428,,http://purl.obolibrary.org/obo/OBI_0002428
,Clinically relevant exposure inclusion criterion,"An inclusion criterion that defines and states one or more clinically relevant histories of exposure of an entity, which, if met, makes the entity suitable for a given task or participation in a given process.",0002455,,http://purl.obolibrary.org/obo/OBI_0002455
,Clinically relevant lifestyle inclusion criterion,"An inclusion criterion that defines and states one or more clinically relevant planned processes that a human being actively participates in , which, if met, makes the human being suitable for a given task or participation in a given process.",0002454,,http://purl.obolibrary.org/obo/OBI_0002454
,Country of residence inclusion criteria,"An inclusion criterion that defines and states one or more countries of residence which, if met, makes a human being suitable for a given task or participation in a given process.",0002562,,http://purl.obolibrary.org/obo/OBI_0002562
,Defined population inclusion criterion,An inclusion criterion that is based on fitting within the defined characteristics of a population based study design.,0002460,,http://purl.obolibrary.org/obo/OBI_0002460
,Ethnicity inclusion criterion,"An inclusion criteria that defines and states one or more ethnicities which, if met, makes an entity suitable for a given task or participation in a given process.",0002563,,http://purl.obolibrary.org/obo/OBI_0002563
,Family status inclusion criterion,"An inclusion criterion that defines and states one or more family statuses, which, if met, makes a human being suitable for a given task or participation in a given process.",0002560,,http://purl.obolibrary.org/obo/OBI_0002560
,Gravidity inclusion criterion,"An inclusion criterion that defines and states one or more gravidity statuses of an organism, which, if met, makes the entity suitable for a given task or participation in a given process.",0002456,,http://purl.obolibrary.org/obo/OBI_0002456
,Health status inclusion criterion,"An inclusion criterion that defines and states one or more clinically significant bodily components, dispositions, and/or bodily processes of an entity that are inferred from relevant clinical findings or self-reported, which, if met, makes the entity suitable for a given task or participation in a given process.",0002453,,http://purl.obolibrary.org/obo/OBI_0002453
,Hospital patient inclusion criterion,An inclusion criterion defines that a human being has to be a hospital patient to be suitable for a given task or participation in a given process.,0002559,,http://purl.obolibrary.org/obo/OBI_0002559
,Sex inclusion criterion,"An inclusion criterion that defines and states one or more sexes which, if met, makes an entity suitable for a given task or participation in a given process.",0002561,,http://purl.obolibrary.org/obo/OBI_0002561
,Use of medication inclusion criterion,"An inclusion criterion that defines and states a a set of medications, which, if used by an entity, makes that entity suitable for a given task or participation in a given process.",0002558,,http://purl.obolibrary.org/obo/OBI_0002558
