order,name,code,parent,definition,ontologyTermURI
1,Hospital discharge records,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030038
2,Primary care medical records,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030039
3,Pharmacy dispensation records,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030040
4,Birth registry,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030041
5,Induced terminations registry,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030042
6,Congenital anomaly registry,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030043
7,Population registry,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030044
8,Registration with healthcare system,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030045
9,Hospital outpatient visit records,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030046
10,Hospital inpatient records,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030047
11,Emergency care discharge records,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030048
12,Exemptions from co-payment,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030049
13,Diagnostic tests or procedures reimbursement,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030050
14,Death registry,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030051
15,Cancer registry,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030052
16,Disease registry,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030053
17,Vaccination registry,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030054
18,Drug registry,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030055
19,Biobank,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030056
20,Administrative healthcare claims,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030057
21,Spontaneous reporting of adverse drug reactions,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030058
22,Specialist ambulatory care records,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030059
23,Other,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000031053
