tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Version,,,,,,,,,,,,3.10,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies","DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Organisations,,,,,,,,,,,,Research departments and research groups,"DataCatalogue,EMA,SharedStaging"
Resources,,id,,1,True,,,,,,,Internal identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Networks,,id,,1,True,,,,,,,Internal identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Models,,id,,1,True,,,,,,,Internal identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Studies,,id,,1,True,,,,,,,Internal identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Organisations,,id,,1,True,,,,,,,Internal identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Resources,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Networks,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Models,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Studies,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Organisations,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Resources,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Networks,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Models,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Studies,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Organisations,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Resources,,name,text,3,True,,,,,,,Name used in European projects,"DataCatalogue,EMA,SharedStaging,CohortStaging,RWEStaging"
Networks,,name,text,3,True,,,,,,,Name used in European projects,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Models,,name,text,3,True,,,,,,,Name used in European projects,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Studies,,name,text,3,True,,,,,,,Name used in European projects,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Organisations,,name,text,3,True,,,,,,,Name used in European projects,"DataCatalogue,EMA,SharedStaging,CohortStaging"
Organisations,,type,ontology_array,,,CatalogueOntologies,Organisation types,,,,,Type of organisation; in which sector is the organisation active?,"DataCatalogue,EMA,SharedStaging"
Organisations,,type other,text,,,,,,,,,"If type is 'other', a description of type of organisation","DataCatalogue,SharedStaging"
Organisations,,institution,text,,,,,,,,,"University, company, medical centre or research institutes this organisation is part of","DataCatalogue,EMA,SharedStaging"
Organisations,,institution acronym,string,,,,,,,,,Short name of the organisation,"DataCatalogue,EMA,SharedStaging"
Organisations,,email,email,,,,,,,,,Contact email address for person responsible for organization entry in catalogue,"DataCatalogue,SharedStaging"
Organisations,,logo,file,,,,,,,,,Logo of the organisation,"DataCatalogue,SharedStaging"
Organisations,,address,text,,,,,,,,,Address of the organisation,"DataCatalogue,SharedStaging"
Organisations,,expertise,text,,,,,,,,,A short description of the expertise of this institution,"DataCatalogue,SharedStaging"
Organisations,,country,ontology_array,,,CatalogueOntologies,Countries,,,,,Country in which the institution head office or coordinating centre is located,"DataCatalogue,EMA,SharedStaging"
Organisations,,features,ontology_array,,,CatalogueOntologies,Organisation features,,,,,Features that describe this organisation,"DataCatalogue,EMA,SharedStaging"
Organisations,,role,ontology_array,,,CatalogueOntologies,Organisation roles,,,,,Roles of the institution in connection with data sources in the catalogue. Select one or more of the following:,"DataCatalogue,EMA,SharedStaging"
