tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,visible
Version,,,,,,,,,,,,4.0,
Collections,,,,,,,,,,,dcat:Resource,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies",
Organisations,,,,,,,,,,,"org:Organization,foaf:Agent",Research departments and research groups,
Collections,,id,,1,true,,,,,,dcterms:identifier,Internal identifier,
Organisations,,id,,1,true,,,,,,dcterms:identifier,Internal identifier,
Collections,,pid,,2,,,,,,,dcterms:identifier,Persistent identifier,
Organisations,,pid,,2,,,,,,,dcterms:identifier,Persistent identifier,
Collections,,acronym,,,,,,,,,dcterms:identifier,Acronym if applicable,
Organisations,,acronym,,,,,,,,,dcterms:identifier,Acronym if applicable,
Collections,,name,text,3,true,,,,,,"dcterms:title,foaf:name",Name used in European projects,
Organisations,,name,text,3,true,,,,,,"dcterms:title,foaf:name",Name used in European projects,
Organisations,,type,ontology_array,,,CatalogueOntologies,Organisation types,,,,,Type of organisation; in which sector is the organisation active?,
Organisations,,institution,text,,,,,,,,org:FormalOrganization,"University, company, medical centre or research institutes this organisation is part of",
Organisations,,institution acronym,string,,,,,,,,,Short name of the organisation,
Organisations,,country,ontology_array,,,CatalogueOntologies,Countries,,,,vcard:country-name,Country in which the institution head office or coordinating centre is located,
Organisations,,features,ontology_array,,,CatalogueOntologies,Organisation features,,,,,Features that describe this organisation,
Organisations,,role,ontology_array,,,CatalogueOntologies,Organisation roles,,,,org:Role,Roles of the institution in connection with data sources in the catalogue. Select one or more of the following:,
Organisations,,leading resources,refback,,,,Collections,,lead organisation,,,"Listing of data sources, cohorts, studies (etc)",
Organisations,,additional resources,refback,,,,Collections,,additional organisations,,,"Listing of data sources, cohorts, studies (etc)",
Collections,,features,ontology_array,,,CatalogueOntologies,Network features,,,,,Characterizations of the network,['Network'].includes(collectionType?.name)
Collections,,study type,ontology,,,CatalogueOntologies,Study types,,,,,Select 1 of the following types of study,['Study'].includes(collectionType?.name)
Collections,,study type other,,,,,,,,,,"If other, describe the type of study",['Study'].includes(collectionType?.name)
Collections,,datasource type,ontology_array,,,CatalogueOntologies,Datasource types,,,,dcterms:type,Which of the following families of databanks best describe this data source,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,datasource type other,text,,,,,,,,,"If other, describe the type of datasource","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,website,hyperlink,,,,,,,,dcat:landingPage,Link to the website or homepage,
Organisations,,website,hyperlink,,,,,,,,dcat:landingPage,Link to the website or homepage,
Collections,,lead organisation,ref_array,,,,Organisations,,,,dcterms:creator,lead organisation (e.g. research department or group) for this resource,"['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,additional organisations,ref_array,,,,Organisations,,,,dcterms:contributor,List the names of any additional organisations that contributed to the resource,"['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,other organisations,text,,,,,,,,,List the names of any other organisations that are not listed and contributed to this resource,['Study'].includes(collectionType?.name)
Collections,,other organisations,text,,,,,,,,dcterms:contributor,List the names of any other organisations that are not listed and contributed to this resource,['Network'].includes(collectionType?.name)
Collections,,description,text,,,,,,,,dcterms:description,Short description,
Organisations,,description,text,,,,,,,,dcterms:description,Short description,
Collections,,data collection description,text,,,,,,,,,Describe the process of collection and recording of data.,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,date established,date,,,,,,,,,"Date when the data source was first established. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,start data collection,date,,,,,,,,dcat:startDate,"The date when data started to be collected or extracted. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,end data collection,date,,,,,,,,dcat:endDate,"If data collection in the data source has ceased, on what date did new records last enter the data source?. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,status,ontology,,,CatalogueOntologies,Study status,,,,,Status of the study,['Study'].includes(collectionType?.name)
Collections,,release frequency,int,,,,,,,,,Refreshing rate (in months),['Model'].includes(collectionType?.name)
Organisations,,contacts,refback,,,,Contacts,,resource,,dcat:contactPoint,Contact person(s),
Collections,,number of participants,int,,,,,,,,,Total number of individuals for which data is collected,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,dcterms:spatial,Countries where data from this resource largely originate from,"['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,dcterms:spatial,Geographical regions where data from this resource largely originate from,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Which population age groups are captured in this resource? Select all that are relevant.,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population entry,ontology_array,,,CatalogueOntologies,Population entry,,,,,Select the possible causes / events that trigger the registration of a person in the data source,"['Databank', 'Data source'].includes(collectionType?.name)"
